Código,Sigla,Contacto,Denominación
125301,OSFFENTOS,www.fentos.org.ar,OBRA SOCIAL FEDERAL DE LA FEDERACION NACIONAL DE TRABAJADORES DE OBRAS SANITARIAS
125509,OSFATUN,www.osfatun.com.ar,OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR  DE LAS UNIVERSIDADES NACIONALES
125707,OSPCN,www.unionpersonal.com.ar,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL  PERSONAL CIVIL DE LA NACION
125905,OSADRA,www.osadra.org.ar,OBRA SOCIAL DE ARBITROS DEPORTIVOS DE LA REPUBLICA ARGENTINA
126007,,www.obrasocialdelacarne.org.ar,OBRA SOCIAL DE LA FEDERACION GREMIAL DEL PERSONAL DE  LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS
126106,OSTEP,www.ostepdigital.com,OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION PRIVADA
126205,OSECAC,www.osecac.org.ar,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES
126304,OSBA,0800-555-6722,OBRA SOCIAL SERVICIOS SOCIALES BANCARIOS
126502,OSCOEMA,0810-333-3057,OBRA SOCIAL DE LA CONFEDERACION DE OBREROS Y EMPLEADOS MUNICIPALES  ARGENTINA ( OSCOEMA )
126601,OPZC,www.obrasocialquimicos.com.ar,OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS  QUIMICAS Y PETROQUIMICAS DE ZARATE CAMPANA
126700,,,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA TUCUMANA
126809,OSCRAIA,oscraia@live.com.ar,OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES
126908,OSMEDICA,www.osmedica.com.ar,OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES
127000,OSTES,,OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVICIO
127109,OSPETELCO,www.ospetelco.org,OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SINDICATO BUENOS AIRES
127208,OSMMEDT,www.osmmedt.org.ar,OBRA SOCIAL DE MANDOS MEDIOS DE TELECOMUNICACIONES EN LA REPUBLICA ARGENTINA Y MERCOSUR
127307,,www.vialsalud.com.ar,OBRA SOCIAL DE TRABAJADORES VIALES Y AFINES DE LA REPUBLICA ARGENTINA
127406,OSOETSYLARA,www.uoesylra.org,OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA
127505,OSADEF,0800-666-2333,OBRA SOCIAL DE  LAS ASOCIACIONES DE EMPLEADOS DE FARMACIA
127604,OSOSS,www.ososs.com.ar,OBRA SOCIAL PARA EL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS
127703,OSPESCHA,soesgypechaco@gigared.com,"OBRA SOCIAL PERSONAL ESTACIONES DE SERVICIO,GARAGES,PLAYAS Y LAVADEROS DE LA PROVINCIA DEL CHACO"
127802,OSLYF PATAGONIA,www.generarsalud.com.ar,OBRA SOCIAL DE LUZ Y FUERZA DE LA PATAGONIA
127901,OS.PE.PRI,www.ospepri.org.ar,OBRA SOCIAL DE PETROLEROS PRIVADOS
128003,,www.festiqypra.org.ar,OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICA Y PETROQUIMICA
128102,OSUTI,0800-666-7884,OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA
128201,O.S.S.U.R.R.B.A.C,surrbacinstitucional@gmail.com,OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA
128300,O.S.PE.TAX.R,w.w.w.sptrosario.com.ar,OBRA SOCIAL PEONES DE TAXIS DE ROSARIO
128409,OSSOELSAC,,"OBRA SOCIAL DEL SINDICATO OBREROS Y EMPLEADOS DE EMPRESAS DE LIMPIEZA,SERVICIOS Y AFINES DE CORDOBA"
128508,OSFYB,www.safyb.org.ar,OBRA SOCIAL DE FARMACEUTICOS Y BIOQUIMICOS
128607,,,OBRA SOCIAL DE TRABAJADORES DEL PETROLEO Y GAS PRIVADO DEL CHUBUT
128706,OSPEDYB,ospedyb@gmail.com,OBRA SOCIAL DEL PERSONAL DE DRAGADO Y BALIZAMIENTO
128805,OSPAD,info.ospad@gmail.com,OBRA SOCIAL DEL PERSONAL ADUANERO DE LA REPUBLICA ARGENTINA
128904,"O.S.T.A.C.C,",,OBRA SOCIAL DE LOS TRABAJADORES ARGENTINOS DE CENTROS DE CONTACTOS
129006,O.S.A.P.S.E,,OBRA SOCIAL DE LA ASOCIACION DEL PERSONAL SUPERIOR DE LA EMPRESA PROVINCIAL DE ENERGIA DE CORDOBA
200400,OSPEC,gergral@sinectis.com.ar,OBRA SOCIAL DEL PERSONAL DE LA EMPRESA NACIONAL DE CORREOS Y TELEGRAFOS S.A. Y DE LAS  COMUNICACIONES DE LA REPULICA ARGENTINA
300704,JOHNSON,,OBRA SOCIAL CERAS JOHNSON
302106,DITEM,bue@aguilar-sulfacid.com,"OBRA SOCIAL PARA DIRECTIVOS, TECNICOS Y EMPLEADOS DE JOHN DEERE ARGENTINA"
302304,,bue@aguilar-arzinc.com,OBRA SOCIAL COMPANIA MINERA AGUILAR S.A
302809,OSRM,,OBRA SOCIAL REFINERIAS DE MAIZ S.A.I.C.F.
303109,,ossuperco@speedy.com.ar,OBRA SOCIAL SUPERCO
303307,,,OBRA SOCIAL CABOT ARGENTINA
303406,,www.osshell.org.ar,OBRA SOCIAL DE SHELL ARGENTINA
303703,,info@ospbb.com.ar,OBRA SOCIAL DEL PERSONAL DE PBBPOLISUR  SA  DE  BAHIA BLANCA
303901,,03327-42-9328,OBRA SOCIAL DE FORD AGENTINA S.C.A
304003,,,OBRA SOCIAL DE VOLKSWAGEN ARGENTINA S.A.
400107,OPDEA,www.opdea.org,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS DE LA ALIMENTACION Y DEMAS ACTIVIDADES EMPRESARIAS
400206,OSPREME,0800-999-7384,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA AUTOMOTRIZ ARGENTINA
400305,CAMPSIC,www.campsic.com,"OBRA SOCIAL COOPERATIVA LTDA.  DE ASISTENCIA MEDICA Y FARMACEUTICA, SERVICIOS ASISTENCIALES Y TURISMO DEL PERSONAL SUPERIOR DE LA INDUSTRIA DEL CAUCHO Y OTRAS ACTIVIDADES INDUSTRIALES"
400503,APDJIC,apdjic@ba.net,OBRA SOCIAL DE LA ASOCIACION DEL PERSONAL DE DIRECCION Y JERARQUICO DE LA INDUSTRIA DEL CIGARRILLO
400602,OSDIC,,OBRA SOCIAL DEL PERSONAL DIRECTIVO DE LA INDUSTRIA DE LA CONSTRUCCION
400701,OSCICA,,OBRA SOCIAL CAMARA DE LA INDUSTRIA CURTIDORA ARGENTINA
400800,OSDE,www.osde.com.ar,OBRA SOCIAL DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE EMPRESAS
400909,ASE,www.ase.com.ar,OBRA SOCIAL DEL PERSONAL DE DIRECCION  ACCION SOCIAL DE EMPRESARIOS (A:S:E.)
401001,FRUTOS,frutosdelpais@sion.com,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS QUE ACTUAN EN FRUTOS DEL PAIS
401209,OSIM,www.osim.com.ar,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA METALURGICA  Y DEMAS ACTIVIDADES EMPRESARIAS
401308,OSMAD,www.osmad.org.ar,OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA MADERERA
401605,OSDIPP,www.osdipp.com.ar,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA PRIVADA DEL PETROLEO
401704,OSDEPYM,www.osdepym.com.ar,"OBRA SOCIAL  DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS"
401803,AMPAR,www.ampar.org,OBRA SOCIAL ASOCIACION MUTUAL DEL PERSONAL DE PHILIPS ARGENTINA (AMPAR)
401902,WHOPE,www.whope.com.ar,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE PERFUMERIA E.W. HOPE
402004,OSLPASTEUR,www.oslpasteur.com.ar,OBRA SOCIAL DEL PERSONAL DE DIRECCION DE SANIDAD LUIS PASTEUR
402103,APDIS,www.apdis.com.ar,OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION DE LA INDUSTRIA SIDERURGICA
402202,OSMITA,www.osmita.com.ar,OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA
402301,APSOT,www.apsot.com,OBRA SOCIAL ASOCIACION DEL PERSONAL SUPERIOR DE LA ORGANIZACION TECHINT
402400,OSEDEIV,www.osedeiv.com.ar,OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA VITIVINICOLA Y AFINES
402509,OSYPF,www.osypf.com,OBRA SOCIAL YPF
402608,ASSPE,www.asspe.com.ar,"OBRA SOCIAL ASOCIACION DE SERVICIOS SOCIALES PARA EMPRESARIOS Y PERSONAL DE DIRECCION DE EMPRESAS DEL COMERCIO, SERVICIOS, PRODUCCION, INDUSTRIA Y CIVIL (ASSPE )"
402707,,WWW.OSDO.COM.AR,OBRA SOCIAL DE DIRECCION OSDO
402806,,www.osdaap.com.ar,OBRA SOCIAL DE DIRECCION DE LA ACTIVIDAD AEROCOMERCIAL  PRIVADA
500807,,,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS
600408,,www.adoscomodoro.org.ar,ASOCIACION DE OBRAS SOCIALES DE COMODORO RIVADAVIA
601104,,03446-4-24133,ASOCIACION GUALEGUAYCHU DE OBRAS SOCIALES
601203,,adosgualeguay@arnet.com.ar,ASOCIACION DE OBRAS SOCIALES DE GUALEGUAY
602305,ADOS ROSARIO,,ASOCIACION DE OBRAS SOCIALES DE ROSARIO
603100,,adostrelew@hotmail.com,ASOCIACION DE OBRAS SOCIALES DE TRELEW
700108,,ospma@hotmail.com.ar,OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA
700801,,ospmlm@tutopia.com,OBRA SOCIAL DEL PERSONAL MUNICIPAL DE LA MATANZA
701002,,osppm3f@arnet.com.ar,OBRA SOCIAL PARA EL  PERSONAL MUNICIPAL DE TRES DE FEBRERO
800105,,btapia@atanorsa.com.ar,OBRA SOCIAL ATANOR S.A
800501,,www.osap.org.ar,OBRA SOCIAL ACEROS PARANA
900102,OSPEF Y EPCA,obrasocial@osfp.com.ar,OBRA SOCIAL DEL PERSONAL DE EMPRESAS FIAT Y EMPRESAS PEUGEOT CITROEN ARGENTINA
